0.0,0.3,3.0,30.0
0.0,4.995672,4.956247,4.607298
0.0842,4.750472,4.716712,4.414236
0.1684,4.084748,4.065358,3.882246
0.2526,3.175992,3.173446,3.134216
0.3368,2.232951,2.243552,2.3227
0.4211,1.418747,1.435684,1.579264
0.5053,0.8155,0.832451,0.986078
0.5895,0.423866,0.437151,0.565179
0.6737,0.199214,0.20791,0.297357
0.7579,0.084663,0.089556,0.143611
0.8421,0.032535,0.034937,0.063667
0.9263,0.011305,0.012343,0.025909
1.0105,0.003552,0.003949,0.009679
1.0947,0.001009,0.001144,0.003319
1.1789,0.000259,0.0003,0.001044
1.2632,6e-05,7.1e-05,0.000301
1.3474,1.2e-05,1.5e-05,7.9e-05
1.4316,2e-06,2e-06,1.9e-05
1.5158,0.0,0.0,4e-06
1.6,0.0,0.0,0.0
