0.0,0.3,3.0,30.0
0.0,6.494762,6.374098,5.42651
0.0789,6.115958,6.012861,5.18672
0.1579,5.085008,5.026914,4.518052
0.2368,3.682627,3.677866,3.561461
0.3158,2.248727,2.285337,2.499437
0.3947,1.081952,1.134229,1.513539
0.4737,0.352326,0.389959,0.733658
0.5526,0.060476,0.069032,0.230216
0.6316,0.00502,0.005255,0.017021
0.7105,0.000253,0.000255,0.000274
0.7895,8e-06,8e-06,8e-06
0.8684,0.0,0.0,0.0
0.9474,0.0,0.0,0.0
1.0263,0.0,0.0,0.0
1.1053,0.0,0.0,0.0
1.1842,0.0,0.0,0.0
1.2632,0.0,0.0,0.0
1.3421,0.0,0.0,0.0
1.4211,0.0,0.0,0.0
1.5,0.0,0.0,0.0
