0.0,0.3,3.0,30.0
0.0,4.995668,4.956239,4.6073
0.0842,4.750468,4.716705,4.414236
0.1684,4.084745,4.065351,3.882244
0.2526,3.17599,3.17344,3.134212
0.3368,2.232949,2.243548,2.322695
0.4211,1.418746,1.435681,1.57926
0.5053,0.8155,0.832449,0.986075
0.5895,0.423866,0.43715,0.565178
0.6737,0.199213,0.20791,0.297357
0.7579,0.084663,0.089556,0.143612
0.8421,0.032535,0.034937,0.063668
0.9263,0.011305,0.012343,0.02591
1.0105,0.003552,0.003949,0.009679
1.0947,0.001009,0.001144,0.003319
1.1789,0.000259,0.0003,0.001044
1.2632,6e-05,7.1e-05,0.000301
1.3474,1.2e-05,1.5e-05,7.9e-05
1.4316,2e-06,2e-06,1.9e-05
1.5158,0.0,0.0,4e-06
1.6,0.0,0.0,0.0
